timestamp,zone_id,temperature_c,humidity_percent
2023-02-02 00:00:00,A1,22.7,66.2
2023-02-02 01:00:00,B2,23.5,62.8
2023-02-02 02:00:00,C3,21.2,63.5
2023-02-02 03:00:00,C4,23.8,58.2
2023-02-02 04:00:00,A1,21.9,67.1
2023-02-02 05:00:00,B2,21.4,64.0
2023-02-02 06:00:00,C3,23.2,66.8
2023-02-02 07:00:00,C4,20.6,70.4
2023-02-02 08:00:00,A1,24.3,60.8
2023-02-02 09:00:00,B2,22.6,63.5
2023-02-02 10:00:00,C3,21.5,66.0
2023-02-02 11:00:00,C4,23.9,62.7
2023-02-02 12:00:00,A1,22.2,64.2
2023-02-02 13:00:00,B2,23.0,61.4
2023-02-02 14:00:00,C3,21.3,67.3
