timestamp,zone_id,temperature_c,humidity_percent
2023-01-01 00:00:00,A1,21.5,65.3
2023-01-01 01:00:00,B2,22.1,60.2
2023-01-01 02:00:00,C3,19.8,70.1
2023-01-01 03:00:00,A1,23.4,58.7
2023-01-01 04:00:00,B2,24.3,67.4
2023-01-01 05:00:00,C3,22.9,72.5
2023-01-01 06:00:00,A1,20.4,65.8
2023-01-01 07:00:00,B2,21.2,63.6
2023-01-01 08:00:00,C3,22.5,69.0
2023-01-01 09:00:00,A1,25.0,61.3
2023-01-01 10:00:00,B2,20.7,75.0
2023-01-01 11:00:00,C3,23.1,68.4
2023-01-01 12:00:00,A1,21.8,66.2
2023-01-01 13:00:00,B2,22.5,62.5
2023-01-01 14:00:00,C3,19.9,73.2
